symbol,company,industry,exchange,trading_volume_and_chartered_capital
Auto15,CTCP Ô tô 1-5,"Sản xuất thiết bị, máy móc",OTC,0
AuViet,CTCP Phân bón Quốc tế Âu Việt,"Sản xuất hóa chất, dược phẩm",OTC,0
AVA,Công ty TNHH Kiểm toán và Thẩm định giá Việt Nam,Dịch vụ pháp lý,Khác,0
AVICO,Công ty TNHH Kiểm toán AVICO,Dịch vụ pháp lý,Khác,0
Avicon,CTCP Công trình Hàng không,"Xây dựng nhà cửa, cao ốc",OTC,0
AVINA,"Công ty TNHH Tư vấn Thuế, Kế toán và Kiểm toán Việt Nam",Dịch vụ pháp lý,Khác,0
AVS,CTCP Chứng khoán Âu Việt,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0
AzureCity,CTCP Thành Phố Xanh,Bất động sản,OTC,60000000
BacGiang,CTCP Xuất nhập Khẩu Bắc Giang,Sản xuất giấy,OTC,0
BachViet,CTCP Công nghệ và Đầu tư Bách Việt,Công nghiệp thu âm và phim ảnh,OTC,0
BAFECO,CTCP Thức ăn Chăn nuôi Bạc Liêu,Chăn nuôi,OTC,0
BAM,CTCP Khoáng sản và Luyện kim Bắc Á,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),OTC,30000000
BaoBi277,Công ty TNHH MTV Bao Bì 277 Hà Nội,Bán buôn hàng tiêu dùng,Khác,0
BaoBiDuoc,CTCP Bao bì Dược,Sản xuất giấy,OTC,0
BaoHoLaoDong,CTCP Tạp phẩm và Bảo hộ Lao động,Cửa hàng đồ nội thất và đồ dùng gia đình,OTC,0
BaoVietBank,Ngân hàng TMCP Bảo Việt,Trung gian tín dụng và các hoạt động liên quan,OTC,300000000
BaoVietResort,CTCP Khách Sạn và Du Lịch Bảo Việt,Khách sạn và phòng ở,OTC,0
Barotex,CTCP Thương mại và Đầu tư Barotex Việt Nam,"Sản xuất các sản phẩm điện tử, vi tính",OTC,65200000
BAS,CTCP Basa,Sản xuất thực phẩm,OTC,9600000
Baseafood,CTCP Chế biến Xuất nhập khẩu Thủy sản Bà Rịa - Vũng Tàu,Sản xuất thực phẩm,OTC,4800000
BAV,CTCP Hàng không Tre Việt,Vận tải hàng không,OTC,0
BBL,CTCP Bourbon Bến Lức,Sản xuất thực phẩm,OTC,0
BCEL,Ngân hàng Ngoại Thương Lào,Trung gian tín dụng và các hoạt động liên quan,Lào,136577600
BCEL-KT,BCEL-KT Securities Co. LTD,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0
BCI,Công ty TNHH MTV Đầu tư Kinh doanh Nhà Khang Phúc,Bất động sản,Khác,86720144
BCO,CTCP Xây dựng Bình Phước,Xây dựng công nghiệp nặng và dân dụng,Khác,0
BCR,CTCP BCG Land,Phát triển bất động sản,Khác,0
BDC,Tổng Công ty Xây dựng Bạch Đằng - CTCP,Xây dựng công nghiệp nặng và dân dụng,OTC,21735900
BDF,CTCP Giày Bình Định,Sản xuất các sản phẩm da và liên quan,OTC,1550000
BDMienTrung,CTCP Xây lắp Bưu điện Miền Trung,Chăn nuôi,OTC,0
BDOAudit,Công ty TNHH Kiểm toán BDO,Dịch vụ pháp lý,Khác,0
BDP,CTCP Biệt thự và Khách sạn biển Đông Phương,Bất động sản,OTC,25000000
BDS,CTCP Đường Bình Định,Sản xuất thực phẩm,OTC,3400000
BDSDKVN,CTCP Bất động sản Dầu khí Việt Nam,Bất động sản,OTC,0
BDSThanhNien,CTCP Bất động sản Thanh Niên,"Xây dựng nhà cửa, cao ốc",OTC,0
BecamexCMC,CTCP Vật liệu Xây dựng Becamex,Sản xuất khác,OTC,0
BenhVienGiaoThong,CTCP Bệnh viện Giao thông Vận tải,Dịch vụ chăm sóc sức khỏe ngoại trú,OTC,0
BenThanhG,Tổng Công ty Bến Thành,Phát triển bất động sản,OTC,0
Benthanhhouse,CTCP Phát triển và Dịch vụ Nhà Bến Thành,"Xây dựng nhà cửa, cao ốc",OTC,0
Beta,CTCP Chứng khoán Beta,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,40000000
BeTongHaiAu,CTCP Bê tông Hải Âu,Sản xuất sản phẩm khoáng chất phi kim,OTC,0
BGM,CTCP Khai Thác và Chế Biến khoáng Sản Bắc Giang,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),OTC,45753840
BHAAC,Công ty TNHH Kiểm toán và Kế toán Biên Hoà,Dịch vụ pháp lý,Khác,0
BHDienMay,CTCP Bách hóa Điện máy Sài Gòn,Chăn nuôi,OTC,0
BHS,Công ty TNHH MTV Đường TTC Biên Hòa - Đồng Nai,Sản xuất thực phẩm,Khác,297874449
BHT,CTCP Đầu tư Xây dựng Bạch Đằng TMC,"Xây dựng nhà cửa, cao ốc",OTC,4565000
BHV,CTCP Bá Hiến,Sản xuất sản phẩm khoáng chất phi kim,OTC,972013
BiaCanTho,CTCP Bia Nước giải khát Cần Thơ,Sản xuất thực phẩm,OTC,2390000
BiaSaiGonDongNai,CTCP Bia Sài Gòn - Đồng Nai,Sản xuất thực phẩm,OTC,0
BiaSaiGonHaNam,CTCP Bia Sài Gòn - Hà Nam,Sản xuất thực phẩm,OTC,0
BiaSaiGonPhuYen,CTCP Bia Sài Gòn - Phú Yên,Sản xuất thực phẩm,OTC,6000000
BiaSaiGonQuyNhon,CTCP Bia Sài Gòn - Quy Nhơn,Sản xuất thực phẩm,OTC,0
BiaVietHa,CTCP Bia và Nước giải khát Việt Hà,Chăn nuôi,OTC,0
BIDVMetlife,Công ty TNHH Bảo hiểm nhân thọ BIDV Metlife,Bảo hiểm và các hoạt động liên quan,Khác,0
BikeThongNhat,CTCP Thống Nhất Hà Nội,Sản xuất khác,Khác,0
